Industry,Pct_Week,Pct_YTD,Sector,Color,Composite
Technology Hardware & Equip,-0.91,0.49,Technology,dodgerblue,-0.42000000000000004
Clothing & Accessories,-2.17,0.95,Consumer Goods,darkorange,-1.22
Travel & Leisure,-2.4,0.77,Consumer Services,mediumseagreen,-1.63
Specialty Retailers,-0.9,-0.88,Consumer Services,mediumseagreen,-1.78
Biotechnology,-1.81,-0.1,Health Care,purple,-1.9100000000000001
Health Care Equip & Svcs,-2.45,0.36,Health Care,purple,-2.0900000000000003
Footwear,-2.48,0.25,Consumer Goods,darkorange,-2.23
Insurance Brokers,-1.69,-1.15,Financials,firebrick,-2.84
Specialty Finance,-1.25,-1.74,Financials,firebrick,-2.99
Financial Administration,-3.37,-0.37,Industrials,slateblue,-3.74
Automobiles & Parts,-1.95,-2.09,Consumer Goods,darkorange,-4.04
Life Insurance,-2.76,-1.4,Financials,firebrick,-4.16
Medical Equipment,-3.42,-0.78,Health Care,purple,-4.2
Automobiles,-1.94,-2.46,Consumer Goods,darkorange,-4.4
Media Agencies,-2.25,-2.39,Consumer Services,mediumseagreen,-4.640000000000001
Travel & Tourism,-3.98,-0.72,Consumer Services,mediumseagreen,-4.7
Telecom Equipment,-2.86,-2.24,Technology,dodgerblue,-5.1
Banks,-3.97,-1.31,Financials,firebrick,-5.28
Media,-2.97,-2.54,Consumer Services,mediumseagreen,-5.51
Broadcast & Entertainment,-3.24,-2.8,Consumer Services,mediumseagreen,-6.04
Fixed Line Telecom,-1.93,-5.1,Telecommunications,chocolate,-7.029999999999999
Computer Hardware,-3.57,-3.5,Technology,dodgerblue,-7.07
Insurance,-3.1,-4.32,Financials,firebrick,-7.42
Reinsurance,-2.98,-4.8,Financials,firebrick,-7.779999999999999
Business Training,-3.63,-4.23,Industrials,slateblue,-7.86
Nonlife Insurance,-3.17,-4.88,Financials,firebrick,-8.05
Consumer Finance,-5.46,-4.62,Financials,firebrick,-10.08
Property & Casualty,-3.84,-6.5,Financials,firebrick,-10.34
Mobile Telecom,-5.01,-5.83,Telecommunications,chocolate,-10.84
Recreational Services,-9.21,-2.54,Consumer Services,mediumseagreen,-11.75
Gambling,-5.83,-7.6,Consumer Services,mediumseagreen,-13.43
